threshold, guesses
0.01, 13
0.02, 57
0.03, 98
0.04, 172
0.05, 265
0.06, 353
0.07, 496
0.08, 642
0.09, 821
0.1, 1050
0.11, 1337
0.12, 1622
0.13, 1814
0.14, 2348
0.15, 2723
0.16, 3203
0.17, 3965
0.18, 4989
0.19, 6091
0.2, 7526
0.21, 9332
