threshold, guesses
0.01, 0
0.02, 2
0.03, 13
0.04, 43
0.05, 69
0.06, 93
0.07, 136
0.08, 187
0.09, 236
0.1, 318
0.11, 368
0.12, 457
0.13, 548
0.14, 632
0.15, 751
0.16, 886
0.17, 947
0.18, 1106
0.19, 1280
0.2, 1403
0.21, 1587
0.22, 1768
0.23, 1999
0.24, 2266
0.25, 2557
0.26, 2858
0.27, 3275
0.28, 3718
0.29, 4308
0.3, 4939
0.31, 5650
0.32, 6356
0.33, 7326
0.34, 8782
