threshold, guesses
0.01, 0
0.02, 2
0.03, 29
0.04, 57
0.05, 85
0.06, 133
0.07, 196
0.08, 261
0.09, 342
0.1, 417
0.11, 516
0.12, 618
0.13, 747
0.14, 886
0.15, 987
0.16, 1161
0.17, 1350
0.18, 1514
0.19, 1720
0.2, 1951
0.21, 2266
0.22, 2596
0.23, 2972
0.24, 3420
0.25, 4054
0.26, 4588
0.27, 5412
0.28, 6188
0.29, 7200
0.3, 8815
